O/F	temp	isp	mw	cstar	gamma
None	None	None	None	None	None
194.1363	168.54	None	None	None	1.3927
None	None	None	None	None	None
64.90277	644.58	962.4544921352563	31.523	611.3	1.3336
48.50865	867.51	1178.6	31.369	716.0	1.3078
38.64617	1075.6	1331.9	31.216	803.1	1.2908
32.06032	1272.11	1466.8	31.064	878.7	1.2784
27.35081	1458.79	1588.0	30.914	946.1	1.268
23.81575	1636.39	1698.4	30.765	1007.1	1.2589
21.06453	1805.22	1800.0	30.616	1062.8	1.2507
18.86246	1965.38	1894.0	30.466	1114.1	1.2433
17.06004	2116.76	1981.2	30.314	1161.3	1.2367
15.55753	2259.19	2062.3	30.157	1205.0	1.2308
14.28582	2392.53	2137.6	29.994	1245.3	1.2255
13.19553	2516.73	2207.6	29.824	1282.7	1.2208
12.25041	2631.88	2272.7	29.645	1317.3	1.2167
11.42329	2738.21	2333.4	29.457	1349.5	1.213
10.69336	2836.11	2389.9	29.259	1379.4	1.2097
10.04445	2926.07	2442.7	29.052	1407.3	1.2069
9.46377	3008.64	2492.1	28.836	1433.5	1.2043
8.9411	3084.4	2538.6	28.613	1458.1	1.2021
8.46817	3153.92	2582.5	28.381	1481.3	1.2001
8.03818	3217.75	2623.9	28.144	1503.4	1.1983
7.64556	3276.41	2663.3	27.902	1524.3	1.1968
7.28563	3330.35	2700.8	27.655	1544.3	1.1954
6.95446	3380.01	2736.5	27.404	1563.5	1.1942
6.64876	3425.74	2770.8	27.151	1581.9	1.1931
6.36568	3467.87	2803.7	26.895	1599.6	1.1922
6.10281	3506.67	2835.3	26.638	1616.7	1.1913
5.85805	3542.38	2865.7	26.38	1633.2	1.1906
5.6296	3575.19	2895.1	26.12	1649.2	1.19
5.41588	3605.27	2923.4	25.86	1664.7	1.1895
5.21551	3632.74	2950.8	25.6	1679.7	1.189
5.02727	3657.7	2977.2	25.34	1694.3	1.1886
4.8501	3680.2	3002.7	25.079	1708.5	1.1884
4.68305	3700.27	3027.4	24.818	1722.3	1.1882
4.52528	3717.9	3051.1	24.557	1735.6	1.188
4.37602	3733.05	3074.0	24.295	1748.5	1.188
4.23462	3745.63	3095.9	24.033	1761.0	1.188
4.10047	3755.51	3116.8	23.769	1773.0	1.1881
3.97302	3762.52	3136.6	23.504	1784.5	1.1883
3.85179	3766.44	3155.3	23.238	1795.5	1.1886
3.73632	3766.97	3172.8	22.968	1805.9	1.189
3.62623	3763.8	3188.8	22.696	1815.6	1.1895
3.52113	3756.53	3203.2	22.42	1824.6	1.1902
3.42071	3744.76	3215.9	22.14	1832.8	1.191
