Pressure	O/F	temp	isp	mw	cstar	gamma
1	10.69336	2593.54	0.0	28.655	1329.2	1.2189
1	8.9411	2719.06	0.0	27.691	1386.0	1.2153
1	8.46817	2751.6	0.0	27.366	1402.9	1.2145
1	8.03818	2780.71	0.0	27.041	1419.0	1.2138
1	7.64556	2806.89	0.0	26.719	1434.5	1.2133
1	7.28563	2830.54	0.0	26.4	1449.4	1.2128
1	6.95446	2851.97	0.0	26.083	1463.8	1.2125
1	6.64876	2871.45	0.0	25.771	1477.8	1.2122
1	6.36568	2889.19	0.0	25.462	1491.5	1.212
1	6.10281	2905.37	0.0	25.158	1504.7	1.2118
1	5.85805	2920.12	0.0	24.857	1517.7	1.2117
1	5.21551	2956.89	0.0	23.984	1554.8	1.2117
1	5.02727	2966.91	0.0	23.701	1566.7	1.2117
1	4.8501	2975.9	0.0	23.423	1578.3	1.2118
1	4.68305	2983.91	0.0	23.15	1589.7	1.2119
1	4.52528	2990.95	0.0	22.88	1600.8	1.2121
1	4.37602	2997.04	0.0	22.615	1611.7	1.2123
1	4.10047	3006.39	0.0	22.095	1632.9	1.2128
1	3.97302	3009.62	0.0	21.841	1643.1	1.2131
1	3.85179	3011.86	0.0	21.591	1653.0	1.2134
1	3.42071	3010.06	0.0	20.62	1690.1	1.2151
1	3.32465	3006.59	0.0	20.384	1698.6	1.2156
1	3.23267	3001.76	0.0	20.151	1706.7	1.2162
1	3.14453	2995.43	0.0	19.92	1714.5	1.2168
1	2.90083	2966.25	0.0	19.238	1734.9	1.2191
1	2.82584	2952.64	0.0	19.014	1740.6	1.22
1	2.75368	2936.83	0.0	18.791	1745.7	1.2209
1	2.55266	2874.83	0.0	18.128	1756.6	1.2244
1	2.49036	2848.92	0.0	17.909	1758.6	1.2257
1	2.37208	2788.89	0.0	17.473	1759.9	1.2288
1	2.26156	2717.82	0.0	17.041	1757.4	1.2323
1	2.10872	2591.03	0.0	16.4	1745.8	1.2385
1	2.06091	2543.56	0.0	16.189	1739.8	1.2409
1	0.06416	294.2	0.0	17.199	568.6	1.273
1	0.0585	277.55	0.0	17.348	551.1	1.27
10	97.52948	400.32	598.0	31.679	475.7	1.3746
10	64.90277	644.58	768.1	31.523	611.3	1.3336
10	48.50865	867.51	900.6	31.369	716.0	1.3078
10	38.64617	1075.6	1011.1	31.216	803.1	1.2908
10	32.06032	1272.09	1107.2	31.064	878.7	1.2784
10	27.35081	1458.65	1192.8	30.914	946.0	1.268
10	23.81575	1635.77	1270.2	30.764	1006.9	1.2589
10	21.06453	1803.24	1340.7	30.612	1062.3	1.2508
10	18.86246	1960.3	1405.0	30.455	1112.7	1.2436
10	17.06004	2105.86	1463.5	30.289	1158.6	1.2372
10	15.55753	2238.83	1516.5	30.11	1200.1	1.2317
10	14.28582	2358.58	1564.4	29.915	1237.6	1.2269
10	13.19553	2465.14	1607.5	29.701	1271.3	1.2229
10	12.25041	2559.25	1646.5	29.468	1301.8	1.2195
10	11.42329	2642.07	1681.9	29.219	1329.5	1.2166
10	10.69336	2714.97	1714.2	28.956	1354.8	1.2142
10	10.04445	2779.31	1744.1	28.682	1378.1	1.2122
10	9.46377	2836.31	1771.8	28.399	1399.9	1.2105
10	8.9411	2887.05	1797.8	28.109	1420.2	1.2091
10	8.46817	2932.45	1822.3	27.815	1439.4	1.2078
10	8.03818	2973.24	1845.6	27.518	1457.7	1.2068
10	7.64556	3010.05	1867.8	27.22	1475.1	1.2059
10	7.28563	3043.4	1889.1	26.922	1491.8	1.2051
10	6.95446	3073.69	1909.5	26.624	1507.8	1.2045
10	6.64876	3101.29	1929.3	26.327	1523.4	1.204
10	6.36568	3126.46	1948.4	26.033	1538.4	1.2035
10	6.10281	3149.46	1966.9	25.74	1553.0	1.2032
10	5.85805	3170.47	1984.9	25.45	1567.1	1.2029
10	5.6296	3189.65	2002.4	25.163	1580.9	1.2026
10	5.41588	3207.13	2019.5	24.879	1594.4	1.2025
10	5.21551	3223.02	2036.2	24.598	1607.5	1.2023
10	5.02727	3237.39	2052.4	24.32	1620.3	1.2023
10	4.8501	3250.32	2068.2	24.045	1632.8	1.2022
10	4.68305	3261.84	2083.7	23.773	1645.0	1.2023
10	4.52528	3271.98	2098.8	23.504	1656.9	1.2024
