State,Time (s),Latitude,Longitude
Stage 1,0.0,19.500000000000004,41.5
Stage 1,10.0,19.499995232985253,41.499999031290024
Stage 1,20.0,19.499981126751535,41.49957129013355
Stage 1,30.0,19.499957518175425,41.49938185195108
Stage 1,40.0,19.49992389365847,41.49981479622755
Stage 1,50.0,19.499879349224454,41.5012807938952
Stage 1,60.0,19.499822537505175,41.50421947608536
Stage 1,70.0,19.49975159837762,41.509102137583284
Stage 1,80.0,19.49966406958701,41.51643484520508
Stage 1,90.0,19.499556772814106,41.52676203958027
Stage 1,100.0,19.49942566951261,41.54067074280211
Stage 1,110.0,19.49926567935782,41.558795516232394
Stage 1,120.0,19.49907045217862,41.58182435548718
Stage 1,130.0,19.498832081594266,41.61050576777518
Stage 1,140.0,19.498540744958333,41.6456573569887
Stage 1,150.0,19.49818424918777,41.68817635437227
Stage 1,160.0,19.497747454957914,41.73905269285422
Stage 1,170.0,19.497211541524944,41.79938545593328
Stage 1,180.0,19.496553059404807,41.87040387740313
Stage 1,190.0,19.49574269549838,41.95349459284564
Stage 1,200.0,19.494743640238863,42.05023766224364
Stage 1,210.0,19.49350939052863,42.162455198957936
Stage 1,220.0,19.49199828152122,42.29040741998532
Stage 2,230.0,19.4903508566282,42.4162563075393
Stage 2,240.0,19.488475220268956,42.5487048668801
Stage 2,250.0,19.48634332093789,42.68849863399273
Stage 2,260.0,19.48393748612436,42.83531575881511
Stage 2,270.0,19.48125810562424,42.98761029946861
Stage 2,280.0,19.478275244522827,43.14618822672056
Stage 2,290.0,19.474964260924175,43.31128669230037
Stage 2,300.0,19.47129849024294,43.48315782728454
Stage 2,310.0,19.4672490471115,43.66206988747731
Stage 2,320.0,19.462784604343067,43.848308518916774
Stage 2,330.0,19.45787114579102,44.04217815869477
Stage 2,340.0,19.45247168943107,44.24400358869797
Stage 2,350.0,19.44654597638178,44.45413166275706
Stage 2,360.0,19.44005012084831,44.67293323113383
Stage 2,370.0,19.43293621509584,44.90080529041546
Stage 2,380.0,19.42554229308667,45.12453466149256
Stage 2,390.0,19.417752963113575,45.34856769428469
Stage 2,400.0,19.40956494719471,45.57296810191568
Stage 2,410.0,19.40097458046562,45.797800097722615
Stage 2,420.0,19.391977803369617,46.02312848123175
Stage 2,430.0,19.38257015279733,46.24901872602645
Stage 2,440.0,19.37274675213392,46.47553706979968
Stage 2,450.0,19.362502300166852,46.702750606896615
Stage 2,460.0,19.351831058800833,46.93072738366754
Stage 2,470.0,19.340726839519974,47.1595364969686
Stage 2,480.0,19.32918298852988,47.38924819616673
Stage 2,490.0,19.31719237050525,47.619933989027224
Stage 2,500.0,19.304747350859603,47.85166675188614
Stage 2,510.0,19.29183977644529,48.08452084453759
Stage 2,520.0,19.278460954581593,48.318572230295594
Stage 2,530.0,19.26460163029843,48.55389860172466
Stage 2,540.0,19.250251961671065,48.790579512570524
Stage 2,550.0,19.235401493108366,49.02869651646452
Stage 2,560.0,19.22003912644289,49.26833331302194
